"filename", "language", "C++", "CMake", "JSON", "Markdown", "comment", "blank", "total"
"d:\qtproject\FeiQ2\test\BoostUdp\CMakeLists.txt", "CMake", 0, 5, 0, 0, 8, 3, 16
"d:\qtproject\FeiQ2\test\BoostUdp\test.cpp", "C++", 91, 0, 0, 0, 9, 21, 121
"d:\qtproject\FeiQ2\test\CMakeLists.txt", "CMake", 0, 23, 0, 0, 9, 5, 37
"d:\qtproject\FeiQ2\test\GetLocalName\test.cpp", "C++", 23, 0, 0, 0, 2, 3, 28
"d:\qtproject\FeiQ2\test\GetLocalNet\CMakeLists.txt", "CMake", 0, 9, 0, 0, 1, 0, 10
"d:\qtproject\FeiQ2\test\GetLocalNet\test.cpp", "C++", 150, 0, 0, 0, 54, 19, 223
"d:\qtproject\FeiQ2\test\OpenSSLtest\CMakeLists.txt", "CMake", 0, 17, 0, 0, 3, 4, 24
"d:\qtproject\FeiQ2\test\OpenSSLtest\test.cpp", "C++", 122, 0, 0, 0, 26, 33, 181
"d:\qtproject\FeiQ2\test\OpenSSLtest\说明.md", "Markdown", 0, 0, 0, 52, 0, 44, 96
"d:\qtproject\FeiQ2\test\SqlLite\CMakeLists.txt", "CMake", 0, 6, 0, 0, 1, 2, 9
"d:\qtproject\FeiQ2\test\SqlLite\test.cpp", "C++", 52, 0, 0, 0, 1, 12, 65
"d:\qtproject\FeiQ2\test\boostFilesystem\main.cpp", "C++", 0, 0, 0, 0, 0, 1, 1
"d:\qtproject\FeiQ2\test\jsonCpp\CMakeLists.txt", "CMake", 0, 11, 0, 0, 3, 3, 17
"d:\qtproject\FeiQ2\test\jsonCpp\test.cpp", "C++", 53, 0, 0, 0, 4, 11, 68
"d:\qtproject\FeiQ2\test\jsonCpp\test_json.json", "JSON", 0, 0, 13, 0, 0, 0, 13
"Total", "-", 2764, 134, 13, 52, 597, 514, 4074
